Text,Weight,Pos Tag
Plus,33,CC
One,333,CD
Two,125,CD
Three,46,CD
Four,25,CD
Another,174,DT
Both,36,DT
Those,35,DT
Each,33,DT
Up,443,IN
Out,379,IN
Over,279,IN
Through,130,IN
Before,127,IN
Find,106,IN
Until,85,IN
Without,75,IN
Down,62,IN
Though,45,IN
Found,40,IN
Around,35,IN
During,28,IN
Flown,18,IN
Behind,18,IN
Except,18,IN
Under,17,IN
Per,16,IN
Onto,14,IN
Despite,13,IN
Within,11,IN
Outside,10,IN
Last,186,JJ
Due,162,JJ
Arrive,130,JJ
Next,116,JJ
Good,116,JJ
Sure,98,JJ
Busy,89,JJ
Terrible,78,JJ
Unacceptable,77,JJ
Extra,75,JJ
Much,73,JJ
Final,73,JJ
Mechanic,64,JJ
Free,59,JJ
Horrible,59,JJ
Wrong,52,JJ
Many,51,JJ
Actual,50,JJ
Complete,50,JJ
Direct,45,JJ
Happy,41,JJ
Real,40,JJ
Little,36,JJ
Possible,33,JJ
Total,33,JJ
Big,31,JJ
Second,28,JJ
Severe,27,JJ
Live,27,JJ
Intern,25,JJ
Such,25,JJ
Unable,24,JJ
American,24,JJ
Few,22,JJ
Whole,22,JJ
Top,20,JJ
Itinerary,18,JJ
Ready,18,JJ
High,18,JJ
Worth,18,JJ
Clean,18,JJ
Short,18,JJ
Unhappy,17,JJ
Experienced,17,JJ
Sick,17,JJ
Trouble,16,JJ
Unhelpful,16,JJ
Major,16,JJ
Consistent,16,JJ
Usual,16,JJ
Pathetic,14,JJ
Easy,14,JJ
Safe,14,JJ
Nothappy,14,JJ
Funeral,14,JJ
Previous,13,JJ
Impossible,13,JJ
Third,12,JJ
Unprofessional,12,JJ
Wish,12,JJ
Waive,11,JJ
Angry,11,JJ
Clear,11,JJ
Public,11,JJ
Double,11,JJ
Crappy,11,JJ
Basic,11,JJ
Dead,10,JJ
Serious,10,JJ
Corporate,10,JJ
Worse,51,JJR
Less,44,JJR
Longer,38,JJR
Best,48,JJS
Honest,11,JJS
Americanair,1602,NN
Hour,975,NN
Southwestair,947,NN
Jetblue,842,NN
Delay,759,NN
Time,635,NN
Wait,583,NN
Help,575,NN
Bag,547,NN
Amp,503,NN
Plane,475,NN
Hr,411,NN
Need,373,NN
Min,356,NN
Gate,342,NN
Seat,324,NN
Fly,324,NN
Minute,311,NN
Phone,299,NN
Thank,299,NN
Change,278,NN
Airline,273,NN
Agent,270,NN
Book,268,NN
Again,254,NN
Work,224,NN
Airport,209,NN
Sit,208,NN
Today,206,NN
Luggage,202,NN
Told,198,NN
Ticket,198,NN
Ðÿ,194,NN
Connect,185,NN
Rebook,183,NN
Issue,181,NN
Problem,173,NN
Travel,171,NN
Guy,170,NN
Weather,167,NN
Way,166,NN
Home,164,NN
Aa,164,NN
Line,160,NN
Ua,151,NN
Use,150,NN
Reserv,148,NN
Someone,147,NN
Baggage,142,NN
Email,141,NN
Pm,138,NN
Pay,137,NN
Online,137,NN
Answer,135,NN
Tomorrow,133,NN
Flightr,131,NN
Passenger,129,NN
Crew,126,NN
Experience,123,NN
Stuck,123,NN
Bad,122,NN
Trip,122,NN
Fail,117,NN
Flt,116,NN
Response,113,NN
Week,112,NN
Land,112,NN
Hotel,112,NN
Rude,110,NN
Update,109,NN
Jfk,108,NN
Nothing,108,NN
System,103,NN
Mile,103,NN
Disappoint,102,NN
Refund,102,NN
Care,101,NN
Charge,98,NN
Night,98,NN
Hope,95,NN
Staff,94,NN
Same,92,NN
Fix,88,NN
Rep,87,NN
Voucher,84,NN
Dfw,84,NN
Person,83,NN
Talk,82,NN
Haven't,79,NN
Suck,79,NN
Credit,79,NN
Speak,79,NN
Info,78,NN
Show,77,NN
Dca,77,NN
Pilot,77,NN
Option,76,NN
Point,76,NN
Anything,75,NN
Anyone,75,NN
Claim,74,NN
Strand,74,NN
Year,74,NN
Wifi,74,NN
St,73,NN
Tonight,72,NN
Understand,72,NN
Avail,72,NN
Fee,70,NN
Employee,70,NN
Lax,69,NN
Upgrade,69,NN
Phl,69,NN
Gt,68,NN
Offer,68,NN
Confirm,68,NN
Tarmac,68,NN
Differ,67,NN
Hung,66,NN
Dm,64,NN
Sent,64,NN
Reason,63,NN
Ground,63,NN
Schedule,62,NN
Departure,62,NN
Count,62,NN
Done,62,NN
Sorry,62,NN
Sfo,61,NN
Site,61,NN
Great,61,NN
Contact,61,NN
Ord,61,NN
Yesterday,60,NN
Full,60,NN
Status,59,NN
Ewr,59,NN
Move,58,NN
Mean,57,NN
Reschedule,57,NN
Took,57,NN
Past,56,NN
App,56,NN
Nice,56,NN
Clt,56,NN
Bc,56,NN
Ur,55,NN
Plan,55,NN
Pass,55,NN
Money,55,NN
Bo,54,NN
Class,53,NN
Half,53,NN
Apology,52,NN
Start,52,NN
Vacate,52,NN
Return,51,NN
Old,51,NN
Tweet,51,NN
Cause,50,NN
Error,50,NN
Row,50,NN
Everyone,50,NN
Complaint,50,NN
Feel,50,NN
Depart,49,NN
Account,48,NN
Cost,48,NN
Stay,48,NN
Compensate,48,NN
Team,48,NN
Company,48,NN
Pick,48,NN
Month,47,NN
Message,47,NN
Respond,46,NN
Drop,46,NN
We've,46,NN
Treat,46,NN
Wife,45,NN
Desk,45,NN
Via,45,NN
Flightlation,45,NN
Appreciate,45,NN
Sat,45,NN
End,44,NN
Food,43,NN
Load,43,NN
Assist,43,NN
Lot,43,NN
Place,43,NN
Switch,43,NN
Nd,43,NN
Guess,43,NN
Inform,43,NN
Deal,42,NN
Pl,42,NN
Car,42,NN
Aw,42,NN
Reach,42,NN
Card,41,NN
Destination,41,NN
Spent,41,NN
Maintenance,41,NN
Re,41,NN
Disconnect,41,NN
Policy,40,NN
Link,40,NN
Waste,40,NN
Sleep,40,NN
Phx,40,NN
Nyc,39,NN
Name,39,NN
Request,39,NN
Force,39,NN
Cust,39,NN
Ok,39,NN
Far,39,NN
Unitedairline,39,NN
Friend,38,NN
Drive,38,NN
Price,38,NN
Twitter,38,NN
Joke,38,NN
Lack,37,NN
Iah,37,NN
Denver,37,NN
Iad,36,NN
Hey,36,NN
Went,36,NN
Inconvenient,35,NN
Charlotte,35,NN
Lga,34,NN
Refuse,34,NN
Room,34,NN
Terminal,34,NN
Ruin,34,NN
Den,34,NN
Thx,33,NN
Process,33,NN
Loyal,33,NN
Absolute,33,NN
Screw,33,NN
Snow,33,NN
Thru,33,NN
Wtf,32,NN
Manage,32,NN
Purchase,32,NN
Form,32,NN
Origin,32,NN
Figure,32,NN
Door,32,NN
Leg,32,NN
Fuck,32,NN
Job,32,NN
Hate,32,NN
Standby,32,NN
Watch,32,NN
Tv,31,NN
Fll,31,NN
Reply,31,NN
Yr,31,NN
Hear,31,NN
Chance,31,NN
Fleek,31,NN
Meet,30,NN
Transfer,30,NN
Deliver,30,NN
Idea,30,NN
Mess,29,NN
Customerservice,29,NN
Mia,29,NN
Case,29,NN
Southwest,29,NN
Crazy,29,NN
Usair,29,NN
Fleet's,29,NN
Flyer,28,NN
Layover,28,NN
File,28,NN
Promise,28,NN
Carry,28,NN
Word,28,NN
Yeah,28,NN
Bwi,28,NN
Announce,28,NN
Zero,28,NN
Rt,27,NN
Platinum,27,NN
Matter,27,NN
Turn,27,NN
Neveragain,27,NN
Ice,27,NN
Counter,27,NN
Miami,27,NN
Fault,27,NN
List,27,NN
Question,26,NN
Fine,26,NN
Non,26,NN
Supervisor,26,NN
Incompetent,26,NN
Apparent,26,NN
Mco,26,NN
Cool,25,NN
Dc,25,NN
Report,25,NN
Fare,25,NN
Head,25,NN
Entire,25,NN
Bump,25,NN
Rd,25,NN
Water,25,NN
Concern,24,NN
Sad,24,NN
Current,24,NN
Gold,24,NN
Address,24,NN
Overnight,24,NN
Train,24,NN
Asap,24,NN
Reflight,24,NN
Sense,24,NN
Glad,24,NN
Life,24,NN
Relate,24,NN
Meal,24,NN
Letter,24,NN
Usairwaysfail,24,NN
Hand,23,NN
Feb,23,NN
Shit,23,NN
Storm,23,NN
Explain,23,NN
Operate,23,NN
Tire,23,NN
Between,23,NN
Control,23,NN
Ny,23,NN
Excuse,23,NN
Record,23,NN
Dividend,23,NN
Hi,22,NN
Ad,22,NN
Vegas,22,NN
Text,22,NN
Im,22,NN
Shame,22,NN
Cant,22,NN
Damage,22,NN
Space,22,NN
Sign,22,NN
Atl,22,NN
Blame,22,NN
Fact,22,NN
Accommodate,22,NN
Extreme,22,NN
Attitude,22,NN
Thought,22,NN
Notify,22,NN
Gone,21,NN
Svc,21,NN
Aircraft,21,NN
Jet,21,NN
Unfortunate,21,NN
Tag,21,NN
Newark,21,NN
Cut,21,NN
Stand,21,NN
Nope,21,NN
Badservice,21,NN
Deplane,21,NN
Ppl,21,NN
Choice,21,NN
Explanation,21,NN
Lt,21,NN
Situation,21,NN
Office,21,NN
Volume,21,NN
Support,20,NN
Share,20,NN
Iâ,20,NN
Select,20,NN
Pull,20,NN
Luck,20,NN
Correct,20,NN
Post,20,NN
Suggest,20,NN
Priority,20,NN
Overhead,20,NN
Cover,20,NN
Submit,20,NN
Spoke,20,NN
Bna,20,NN
Part,20,NN
Seen,20,NN
Swa,20,NN
Entertain,19,NN
Exist,19,NN
Tix,19,NN
Tsa,19,NN
Fill,19,NN
Front,19,NN
Date,19,NN
Cs,19,NN
Bs,19,NN
Beyond,19,NN
Push,19,NN
Window,19,NN
Expire,19,NN
Step,18,NN
Hire,18,NN
Web,18,NN
Notification,18,NN
Notice,18,NN
Club,18,NN
Came,18,NN
Mileage,18,NN
Worry,18,NN
Reimburse,18,NN
Badcustomerservice,18,NN
Attempt,18,NN
Detail,18,NN
Flightation,18,NN
Failure,18,NN
Takeoff,18,NN
Route,18,NN
Sw,18,NN
Page,17,NN
Country,17,NN
Access,17,NN
Suitcase,17,NN
Husband,17,NN
Small,17,NN
Useless,17,NN
Huge,17,NN
Break,17,NN
Bother,17,NN
Track,17,NN
Catch,17,NN
Award,17,NN
State,17,NN
Assign,17,NN
Surprise,17,NN
None,17,NN
Fl,17,NN
Plz,17,NN
Dollar,17,NN
Yall,17,NN
Expense,16,NN
Cabin,16,NN
Fun,16,NN
Pre,16,NN
Wow,16,NN
Folk,16,NN
Literate,16,NN
Note,16,NN
Walk,16,NN
Damn,16,NN
Lol,16,NN
Hell,16,NN
Oscar,16,NN
Rdu,16,NN
Callback,16,NN
Y'all,16,NN
Program,15,NN
Mention,15,NN
Story,15,NN
Round,15,NN
Nightmare,15,NN
Secure,15,NN
Mail,15,NN
Mom,15,NN
Honor,15,NN
Bit,15,NN
Mine,15,NN
Safety,15,NN
Everything,15,NN
Airplane,15,NN
Fit,15,NN
Okay,15,NN
Multiple,15,NN
Print,15,NN
Receipt,15,NN
Rate,15,NN
Cater,15,NN
Dont,15,NN
Face,14,NN
Smh,14,NN
Stuff,14,NN
Order,14,NN
Sort,14,NN
Require,14,NN
Future,14,NN
Item,14,NN
Serv,14,NN
Ignore,14,NN
Character,14,NN
Premier,14,NN
Overbook,14,NN
Diff,14,NN
Let's,14,NN
Deny,14,NN
Id,14,NN
Course,14,NN
Merger,14,NN
Alternate,14,NN
Daughter,14,NN
Feedback,14,NN
Baby,14,NN
Official,14,NN
Set,14,NN
Log,14,NN
Rent,14,NN
Represent,14,NN
Merge,14,NN
Captain,14,NN
Estimate,14,NN
Conf,14,NN
Enter,13,NN
Fuel,13,NN
Cross,13,NN
Include,13,NN
Afternoon,13,NN
Funny,13,NN
Carrier,13,NN
Super,13,NN
Partner,13,NN
Rule,13,NN
Mistake,13,NN
Courtesy,13,NN
Code,13,NN
Replace,13,NN
Cc,13,NN
Extend,13,NN
Power,13,NN
Flightd,13,NN
Important,13,NN
Nobody,13,NN
World,13,NN
TRUE,13,NN
Patient,13,NN
Phlairport,13,NN
Amaze,12,NN
Cold,12,NN
Birthday,12,NN
Queue,12,NN
Advise,12,NN
Ugh,12,NN
Fyi,12,NN
Addition,12,NN
Ski,12,NN
Solution,12,NN
Yo,12,NN
Disaster,12,NN
Result,12,NN
Single,12,NN
Clue,12,NN
Complain,12,NN
Piss,12,NN
Engine,12,NN
Msg,12,NN
Main,12,NN
Cmh,12,NN
Bus,12,NN
Taxi,12,NN
Mind,12,NN
Sound,12,NN
Wed,12,NN
Tmrw,12,NN
Decision,12,NN
Area,12,NN
Mad,12,NN
Companion,12,NN
Pbi,12,NN
Reward,12,NN
Auto,12,NN
Eat,11,NN
Video,11,NN
Bin,11,NN
Afford,11,NN
Infant,11,NN
Ball,11,NN
Child,11,NN
Toward,11,NN
Avoid,11,NN
Quick,11,NN
Lounge,11,NN
Delivery,11,NN
O'hare,11,NN
Yell,11,NN
Earn,11,NN
Level,11,NN
Woman,11,NN
Onboard,11,NN
Epicfail,11,NN
Buf,11,NN
Patience,11,NN
Austin,11,NN
Respect,11,NN
Cab,11,NN
Ive,11,NN
Park,11,NN
Alert,11,NN
Comp,11,NN
Carousel,11,NN
Lady,11,NN
Traffic,11,NN
Ripoff,11,NN
Insult,11,NN
Man,11,NN
Gotta,11,NN
Winter,11,NN
Destinationdragon,11,NN
Floor,10,NN
Btw,10,NN
Frequent,10,NN
Screen,10,NN
Paper,10,NN
Carryon,10,NN
Shock,10,NN
Touch,10,NN
Quit,10,NN
Repeat,10,NN
Limit,10,NN
Ride,10,NN
Inbound,10,NN
Lb,10,NN
Fall,10,NN
Stress,10,NN
Frm,10,NN
Coach,10,NN
Poorservice,10,NN
Yyz,10,NN
Fair,10,NN
Wet,10,NN
Honeymoon,10,NN
Ceo,10,NN
Prob,10,NN
Hit,10,NN
Dept,10,NN
Sister,10,NN
Crash,10,NN
Regard,10,NN
Guarantee,10,NN
Hello,10,NN
Shitty,10,NN
Unreal,10,NN
Loyalty,10,NN
Rest,10,NN
Fire,10,NN
Pain,10,NN
Nonstop,10,NN
Coffee,10,NN
Inflight,10,NN
Luv,10,NN
Idiot,10,NN
Snack,10,NN
Etc,10,NN
Forget,10,NN
United,2195,NNP
Service,563,NNP
Co,457,NNP
Day,398,NNP
Miss,280,NNP
Board,213,NNP
Know,188,NNP
Virginamerica,151,NNP
Number,122,NNP
New,116,NNP
Website,108,NNP
Delta,71,NNP
Air,70,NNP
Poor,61,NNP
Hang,56,NNP
Broken,54,NNP
Member,49,NNP
Kid,47,NNP
Boston,47,NNP
Human,44,NNP
Community,43,NNP
Chicago,40,NNP
La,39,NNP
Houston,39,NNP
Hard,37,NNP
Heard,36,NNP
City,35,NNP
San,35,NNP
Computer,32,NNP
Group,28,NNP
Bought,25,NNP
Checkin,24,NNP
Sunday,24,NNP
Monday,23,NNP
Held,22,NNP
Gonna,21,NNP
Knew,21,NNP
Blue,21,NNP
Tuesday,20,NNP
Middle,18,NNP
Awesome,17,NNP
Media,17,NNP
Mobil,16,NNP
Annoyed,16,NNP
Kill,16,NNP
Philadelphia,16,NNP
Phoenix,14,NNP
Center,14,NNP
Bank,13,NNP
De,13,NNP
Nashville,13,NNP
Act,13,NNP
Absurd,12,NNP
Friday,12,NNP
Saturday,11,NNP
Cheap,11,NNP
Usairways,1846,NNS
Customs,566,NNS
People,185,NNS
Gets,168,NNS
Ridicules,80,NNS
Always,39,NNS
Dallas,37,NNS
Empty,35,NNS
Clothes,27,NNS
Lets,26,NNS
Americanairlines,24,NNS
Flew,20,NNS
Equipped,17,NNS
Others,16,NNS
Wills,13,NNS
Frozen,12,NNS
Goes,11,NNS
Forgot,11,NNS
Dulles,10,NNS
Funds,10,NNS
Unfriendlyskies,10,NNS
Freezes,10,NNS
Children,10,NNS
Freaks,10,NNS
's,10,POS
Myself,18,PRP
Now,689,RB
Still,411,RB
Late,315,RB
Back,309,RB
Even,203,RB
Never,202,RB
Really,182,RB
Here,170,RB
Very,135,RB
First,129,RB
Right,110,RB
Long,101,RB
Already,98,RB
Ago,91,RB
Well,76,RB
Seriously,60,RB
Early,57,RB
Enough,50,RB
Twice,50,RB
Instead,49,RB
Runway,48,RB
Family,45,RB
Once,43,RB
Maybe,42,RB
Away,38,RB
Together,34,RB
Airway,32,RB
Close,31,RB
Philly,26,RB
Pretty,25,RB
Soon,24,RB
Probably,18,RB
Anymore,17,RB
Anywhere,16,RB
Friendly,15,RB
Jetway,15,RB
Forward,14,RB
Hopefully,14,RB
Anyway,13,RB
Alone,13,RB
Unbelievably,13,RB
Especially,12,RB
Clearly,12,RB
Properly,11,RB
Incredibly,10,RB
Nearly,10,RB
Forever,10,RB
More,230,RBR
Better,88,RBR
Earlier,45,RBR
Worst,177,RBS
Yes,85,UH
Oh,40,UH
Hold,583,VB
Call,559,VB
Go,347,VB
Try,291,VB
Check,264,VB
Make,259,VB
Please,253,VB
Take,216,VB
Want,196,VB
Give,145,VB
Tell,136,VB
Look,126,VB
Leave,124,VB
See,107,VB
Come,103,VB
Ask,102,VB
Keep,99,VB
Happen,97,VB
Put,97,VB
Think,90,VB
Suppose,80,VB
Attend,77,VB
Stop,70,VB
Send,69,VB
Seem,66,VB
Receive,66,VB
Open,61,VB
Lose,61,VB
Love,54,VB
Gave,50,VB
Allow,48,VB
Provide,47,VB
Expect,47,VB
Handle,46,VB
Follow,46,VB
Run,45,VB
Believe,40,VB
Add,33,VB
Continue,33,VB
Buy,30,VB
Accept,30,VB
Resolve,30,VB
Locate,29,VB
Spend,27,VB
Drink,22,VB
Learn,22,VB
Consider,22,VB
Prefer,21,VB
Wonder,21,VB
Kind,21,VB
Read,20,VB
Play,17,VB
Slow,17,VB
Bring,17,VB
Choose,16,VB
Kept,15,VB
Redeem,14,VB
Gotten,14,VB
Write,13,VB
Sell,13,VB
Listen,13,VB
Improve,12,VB
Prepare,12,VB
Remember,12,VB
Realize,12,VB
Decide,12,VB
Save,11,VB
Gear,11,VB
Apply,10,VB
Begin,10,VB
Solve,10,VB
Broke,14,VBD
Being,133,VBG
Morning,76,VBG
Having,73,VBG
Thing,68,VBG
Saying,44,VBG
Something,44,VBG
Doing,36,VBG
Cancelled,748,VBN
Flightled,371,VBN
Lost,176,VBN
Frustrated,114,VBN
Made,107,VBN
Tried,106,VBN
Left,99,VBN
Paid,74,VBN
Given,36,VBN
Upset,32,VBN
Automated,32,VBN
Lied,23,VBN
Disgusted,21,VBN
Taken,20,VBN
Sold,11,VBN
Confused,10,VBN
Known,10,VBN
Embarrassed,10,VBN